apices,coty,leaves,flower,fruit,root
Solyc00g014790,0.614159222920764,1.30815310367983,1.85654300861041,0.086479496127487,0.592493976877955,0.473128500929835
Solyc00g094550,0,0,0.27319666100772,0,0.105538042864474,0
Solyc00g094540,1.08195585821292,14.3526503546996,2.48078169006268,2.41267705816268,2.82345168581583,3.14564941874935
Solyc00g094530,1.49774267383718,0.464993448901638,1.84932342853342,0.557383360198585,1.88044640499657,1.22773489453637
Solyc00g094520,1.15673301145107,0,4.90205990660071,1.14048846847145,1.4390595568396,1.29220853704661
Solyc00g023700,0,0,0,0,0,0
Solyc00g023710,0,0,0,0,0,0
Solyc00g049210,0,0,0,0,0,0
Solyc00g049220,0,0,0,0,0,0
Solyc00g500186,0,0,0,0,0,0
Solyc00g500187,0,0,0.0143909322644418,0,0,0
Solyc00g500188,0,0,0,0,0,0
Solyc00g500189,0,0,0,0,0,0
Solyc00g021660,0,0,0,0,0,0
Solyc00g500190,0,0,0.063430698165064,0,0.021501743407814,0
Solyc00g500191,0,0,0,0,0,0
Solyc00g500192,0,0,0.0156157325812733,0,0,0
Solyc00g500193,0,1.53214258193774,0.209290094150681,0,0,0
Solyc00g500194,0,0,0,0,0,0
Solyc00g500195,0,0,0.00434433046098546,0,0,0
Solyc00g500196,0,0,0.0138040819644541,0,0,0
Solyc00g500197,0,0,0,0,0,0
Solyc00g500198,0,0,0,0,0,0
Solyc00g500199,0,0,0.0345543995668937,0,0,0
Solyc00g500200,0,0,0.0192034182102659,0,0,0
Solyc00g500201,0,0,0,0,0,0
Solyc00g500202,0,0,0,0,0,0
Solyc00g500203,0,0,0,0,0,0
Solyc00g500204,0,0,0,0,0,0
Solyc00g500205,0,0,0,0,0,0
Solyc00g500206,0,0,0.106516000400696,0,0,0
Solyc00g500207,0,7.66764508789175,0,0,0,0
Solyc00g500208,0,0,0,0,0,0
Solyc00g500209,0,0,0,0,0,0
Solyc00g500210,0,0,0.0182186100960382,0,0,0
Solyc00g500211,0,0,0,0,0,0
Solyc00g500212,0,0,0,0,0,0
Solyc00g500213,0,0,0,0,0,0
Solyc00g500214,0,0,0,0,0,0
Solyc00g322630,0,0,0,0,0,0
Solyc00g500215,0,0,0,0,0,0
Solyc00g500216,0,0,0.0104283107433173,0,0,0
Solyc00g500217,0,0,0,0,0,0
Solyc00g500218,0,0,0,0,0,0
Solyc00g266110,0,0,0,0,0,0
Solyc00g254910,0,0,0,0,0,0
Solyc00g500219,0,0,0,0,0,0
Solyc00g500220,0,0,0,0,0,0
Solyc00g500221,0,0,0.00479053075039905,0,0.0242473694705053,0
Solyc00g500222,0,0,0.0129156804247014,0,0.0264494677891762,0
Solyc00g198360,0,0,0,0,0,0
Solyc00g500223,0,0,0,0,0,0
Solyc00g036520,0,0,0,0,0,0
Solyc00g052540,0,0,0,0,0,0
Solyc00g052530,0,0,0,0,0,0
Solyc00g500224,0,0,0,0,0,0
Solyc00g047180,0,0,0,0,0,0
Solyc00g047190,0,0,0,0,0,0
Solyc00g047200,0,0,0,0,0,0
Solyc00g500225,0,0,0,0,0,0
Solyc00g500226,0,0,0,0,0,0
Solyc00g500227,0,0,0,0,0,0
