apices,coty,In,hypo
Solmam1_01g001430,0.0580448222754359,0.790239775557121,0.449566770802756,0.370902851977191
Solmam1_01g001440,175.179237442279,133.148597517732,209.657691376605,173.312337870697
Solmam1_01g001450,0.997156485101311,0.540698156601812,1.8407401758084,1.00386716066469
Solmam1_01g001460,2.83091892100569,0.42929649311872,2.69009559933607,0.944943545388446
Solmam1_01g001490,0,0,0.272719700406468,0.42443417575166
Solmam1_01g001510,6.47191778275553,3.20634089458939,7.34142548883102,6.03242249833999
Solmam1_01g001520,0.0194994253980359,0.0178510152567904,0.123097465514295,1.85956973569369
Solmam1_01g001530,46.4248730930703,29.3084774705124,72.6055044776408,82.7579789018353
Solmam1_01g001540,5.2875869501256,2.45951470678027,8.08879876078059,2.80500645754557
Solmam1_01g001550,9.74165583755835,1.08122753552633,3.4399556581238,0.899099682818596
Solmam1_01g001560,9.24208418417168,0,0,0
Solmam1_01g001570,7.96621334725277,2.05397240239384,4.81857106559951,2.09667433223438
Solmam1_01g001580,5.31475449075566,13.5928014532569,6.93365836881286,55.3721915964777
Solmam1_01g001600,44.5962624124963,13.0310658603341,20.5474352131915,24.6208557133349
Solmam1_01g001610,10.6287875145103,0,7.16736842250708,0
Solmam1_01g001620,14.9094595475498,5.67270616024484,12.5419473489118,6.66596687735033
Solmam1_01g001630,5.24628896548455,9.57620214479626,11.9113408005132,6.71616262672085
Solmam1_01g001640,3.27456357199615,3.57394860880546,5.90840092504255,3.45443213841464
Solmam1_01g001650,20.1332942651417,3.53432268270458,17.3092844083022,7.29845573900915
Solmam1_01g001670,465.057890243496,308.316606799671,559.431741944932,242.199398037894
Solmam1_01g001680,8.76598150864832,1.76011051867201,8.74380485490337,4.85674366495073
Solmam1_01g001690,0.75752313212976,1.73941882082504,3.60003314027121,1.58151748482979
Solmam1_01g001710,5.11898172221999,0.937568438269381,3.73171596679939,2.22210915802823
Solmam1_01g001720,1.97155753269697,0.915957985696185,1.57014181050864,0.621575433308235
Solmam1_01g001730,5.26389878182848,2.74281794267684,7.93727135515415,1.90575966295353
Solmam1_01g001740,1.93319125794404,0.625249503273612,1.32555147583451,0.119875964119464
Solmam1_01g001750,33.1429750593538,12.8451237474409,39.8095866520588,35.3669202625901
Solmam1_01g001760,32.262500834807,10.5995808529949,21.12715079425,16.9973739963976
Solmam1_01g001770,1.18375887246542,1.75548825449813,2.48951905924793,1.22530736581329
Solmam1_01g001780,0,0,0.0350974895999259,0.0150616904692241
Solmam1_01g001800,38.1254326509005,53.1778320385035,35.0717327800441,28.1296117128378
Solmam1_01g001810,3.62378562680198,4.66142838674936,3.89865827508929,9.96636395890291
Solmam1_01g001820,0.0706165631646385,0.509690607187356,1.34232368338338,1.50479331900011
Solmam1_01g001830,1.68318849933586,0.610459765669307,1.85608409794748,1.00472864189455
