coty,In,hypo,leaves
Solang8_01g001050,0.0843640935212174,0.918254637118121,0.838886898665552,0.422405982034758
Solang8_01g001060,0,3.94451221570921,0.0428599530239892,0.0661482490992336
Solang8_01g001070,18.5506324112301,25.1938926498513,43.727771873046,16.0768557390031
Solang8_01g001090,1.39421197111812,4.82950101615757,3.29420435784052,3.91969010345252
Solang8_01g001100,0.239578762069567,0.244147140127264,7.66865172897924,0.0266487528440596
Solang8_01g001110,0.336249293133529,0.190039482469725,2.96774716427946,0
Solang8_01g001120,0.591990789923455,2.10099842851384,2.30676451415435,0.756478524807385
Solang8_01g001130,4.46529892273777,24.1167531944667,16.4033520301467,8.05955232669354
Solang8_01g001140,0.455582385896743,3.54566383256934,1.05916048683597,0.117167941109361
Solang8_01g001150,12.2768846706551,18.3616830865569,13.8044564833447,15.7589655998514
Solang8_01g001160,7.75445616872846,10.4408943751417,25.3306591804661,3.08604367686175
Solang8_01g001170,0,0.0743167399457745,0,0
Solang8_01g001180,3.80423133556431,3.1479307916914,7.30692331147853,2.38226761677161
Solang8_01g001190,35.9406118346647,4.37597764305355,7.48049972555763,41.4176265471841
Solang8_01g001200,0,4.14874357276737,0,0.0613306296876092
Solang8_01g001210,0,2.96063638170347,0,0
Solang8_01g001220,8.66150826843618,10.4905894613937,13.5562327650617,11.4425855777573
Solang8_01g001230,0,0.030414317775925,0,0
Solang8_01g001240,1.11621498238959,13.8391332069497,10.6427120391313,16.6857979434922
Solang8_01g001250,1.81197079916411,8.81977930905555,4.55807298631579,3.2923111707762
Solang8_01g001260,20.4967315959072,41.2612564908955,45.5347084604288,16.8146456354073
Solang8_01g001270,6.93834781016199,26.3590738813272,22.9813575892125,6.30291970026172
Solang8_01g001280,83.5511688019891,89.7846600863557,219.50708207356,44.6664177143282
Solang8_01g001290,0.434649695395152,1.22575423700294,2.07813998843489,0.100400770364937
Solang8_01g001300,26.5223432443646,48.1087782400315,78.0264155387586,38.5136014395085
Solang8_01g001310,0,0,0,0.0271189098812608
Solang8_01g001320,0.694262363868686,1.80675941089955,1.6830044573242,0.511676718683341
Solang8_01g001340,5.40606098480015,8.01388601570808,7.33613025648485,5.49063974997644
Solang8_01g001350,10.2324174970797,13.7958056104471,20.8206049312546,10.6788437132475
Solang8_01g001360,3.9710239003688,5.36199563591317,10.3859437094223,3.78714660327155
Solang8_01g001380,5.45217333606118,9.86252314423846,6.72222269354576,4.95063555252092
Solang8_01g001390,0.41669099303531,8.25947628722659,6.20849302723023,0.475290132565313
Solang8_01g001400,136.443381612152,309.460306272921,335.249187947686,304.734085683979
Solang8_01g001410,0.713232397711085,0.058452516975606,0.314862796905118,0.661217386293849
Solang8_01g001420,0.295220872003212,0.35015280387783,0.401305661146829,0.154434819475266
Solang8_01g001430,2.00841610982055,3.83580906551157,4.34479242895658,2.36398168158959
Solang8_01g001440,128.755144653046,24.6843813543366,17.86423065144,142.708668290345
Solang8_01g001450,0.990145842689902,3.28753567481952,7.66546494391191,0.551806744147684
Solang8_01g001460,8.82821104469032,7.57866227496263,23.9024006184014,6.55451545639121
Solang8_01g001470,2.9095442532129,3.96456391909561,7.12630612162913,1.87705244507469
Solang8_01g001480,68.0033756483806,61.0147309694045,50.4578404586118,61.4874156597816
Solang8_01g001490,16.0971279571159,22.288424608783,29.2424273723125,19.0454839685869
Solang8_01g001520,0.0824633673010796,0.181176453835716,0.267648326023219,0
Solang8_01g001530,0.834947001071586,0.14706480929489,1.91006981610157,0
Solang8_01g001540,0.155148239888724,0.197287074914468,0.740921943376374,0.152512985870208
Solang8_01g001550,0.0196607134108819,0.489934241396628,0.335007599268327,0.114054937334204
