apices,coty,In,hypo,leaves
Solaet3_01g000510,1.12138499377885,0.477363183662297,2.23115389491639,1.89365631796416,1.45813487214189
Solaet3_01g000520,35.5562336895709,9.18123412677877,23.4974162781713,32.2941377723298,11.6198128428505
Solaet3_01g000530,26.4571253991374,0.359145283384423,9.26953686675183,4.58228903889734,0.588841405733103
Solaet3_01g000540,104.2053726158,23.4275609655031,67.9024447823832,78.5724262631488,26.8431416786917
Solaet3_01g000550,45.6502727972671,157.7341370216,51.7305236487335,35.1634559555324,158.83017406428
Solaet3_01g000560,13.0689139824977,1.26610219360699,9.31961275134057,6.03976256091075,2.93704762346459
Solaet3_01g000580,22.8022754852815,33.8664196924705,18.132818851597,28.8676402247155,29.1797411737092
Solaet3_01g000590,386.271469034522,487.685243144256,264.87920875604,336.868303672945,402.451660299772
Solaet3_01g000600,22.3374970035136,7.65774252745667,13.6247868847069,13.2072334015628,7.92304345633098
Solaet3_01g000610,32.5434291185486,5.19579657692129,25.6849791859893,16.7898464653207,6.0165489466844
Solaet3_01g000620,59.8675115471747,48.7510812121107,64.5530621214831,35.4512120669566,55.1761158888294
Solaet3_01g000630,16.1043479571281,2.60433082342075,16.5322313113072,5.98373032700608,2.28122082433306
Solaet3_01g000640,21.2874111563012,3.6593410615397,12.0883310029127,14.2190284179478,4.69170918148751
Solaet3_01g000650,20.6350645123761,7.88914755130961,22.3122269725664,15.6382364360657,9.65364773818862
Solaet3_01g000660,2.0207785081641,1.05364164087679,3.20711344401903,5.3511548738386,1.76631320559687
Solaet3_01g000670,16.630629810858,7.77409957721324,15.5533672927034,9.59033319558139,9.13899295458344
Solaet3_01g000680,16.0040209180025,4.34884886987935,11.4534770369304,7.89160813190117,5.48908691223858
Solaet3_01g000690,85.8734545778911,33.4870158904039,53.9213644980799,75.249769470604,47.5226553989669
Solaet3_01g000700,0.222636526949615,0,0.112753415932007,0,0.232609502606996
Solaet3_01g000710,46.9802011778422,1.000744785522,42.198791625852,136.291545944444,56.9333568386312
Solaet3_01g000720,227.889428777394,7.79983466062085,181.402174632644,288.626750932708,119.606712005893
Solaet3_01g000730,0.253403133047523,6.29899591740305,1.24535894172169,488.260692448061,18.6349172181129
Solaet3_01g000750,88.7298458216449,4.35646230288413,138.581146488708,23.8825049011255,17.056527690018
Solaet3_01g000760,2.63415300554107,0,4.64793008790832,0.205470235036668,0.0435286022164483
Solaet3_01g000770,21.7288373583679,161.788296096438,49.61109783368,25.8710789957394,179.873133794378
Solaet3_01g000780,5.24179215821962,1.40234216713485,4.4496430240852,3.16271672505804,2.1010119927979
Solaet3_01g000790,0.0281221643402547,0,0,0,0
Solaet3_01g000800,52.7509721328764,8.95873791313595,33.1207341580413,37.7108941595534,12.6658914351723
Solaet3_01g000810,144.841018458949,9.72237502827024,82.2029743079873,82.1472159619756,17.9896179981941
Solaet3_01g000820,3.87300633015887,0.56693294641805,4.24604504725729,4.27245030250957,1.0957387425266
Solaet3_01g000830,1391.66240578796,10.1631650959012,948.379954854518,333.255933552765,9.72902891386423
Solaet3_01g000840,37.0234198983732,0.104821934003058,166.051030175581,0.23223443647458,18.2073504041747
Solaet3_01g000860,0.0380369583384395,0.0645110103701323,0,0.290673494301791,0
Solaet3_01g000850,212.268701674683,0.167810270846908,192.133247271199,10.1284434643042,0.726433011286914
Solaet3_01g000870,0.120739835488617,0,0,0,0
Solaet3_01g000880,278.538372956554,317.703029503033,193.995721803614,332.881346671331,272.34901188353
Solaet3_01g000890,0.00934874143587638,0,0.020625624865611,0.70255933002781,0
Solaet3_01g000900,130.984083967783,98.6783825576629,80.9338832255486,49.9468762943736,94.4071611336456
Solaet3_01g000910,0.0206588843935347,0,0,0,0.162123365495243
Solaet3_01g000920,37.6019455245266,14.845212403708,34.8420320441041,24.9799570452491,15.5542577503963
Solaet3_01g000930,11.3764105729663,4.51560633777968,8.82602436334742,13.003063610624,3.71589744822653
Solaet3_01g000940,7.7446627846886,4.08935495556839,5.91590233549786,4.85112904970243,4.58473272867566
Solaet3_01g000950,8.56088200307405,4.61229954142898,12.9254291077969,5.60572710985701,4.10719960184546
Solaet3_01g000960,390.862801784911,147.914427106878,1299.37897847738,602.143383311898,135.536929467441
Solaet3_01g000970,0.631122227392676,2.91257757912708,10.056329409324,9.82440525593066,13.904442241187
Solaet3_01g000980,4.71926071025835,28.795590464496,25.8759909464764,24.226858416899,55.0090703081219
Solaet3_01g000990,0.462264340808207,0.361105216905303,1.96493994891388,32.7090224335439,0.936785441970665
Solaet3_01g001000,26.2355725881302,0.155481655218353,35.4298245624485,1.05844843651772,25.7980169632338
Solaet3_01g001010,49.6188574723185,1.94453535797792,59.1082460772054,21.0038931146387,1.8501109299015
Solaet3_01g001020,0.0335736102166227,0,0,0,0.0893313801787163
Solaet3_01g001030,5.34065226080483,0.747473941953997,11.1580670672419,2.97171529553595,1.36747237887235
Solaet3_01g001040,1.14366726025608,0.0233872827468428,1.5599551302054,0.51326209762494,0.455718273274748
Solaet3_01g001050,2.68682187102517,0.0110932358772235,4.95501740073161,0.0101711936479236,0.0804014225220641
Solaet3_01g001060,45.7563391042466,19.8953085320514,40.845161007773,38.0254523474003,23.1480752102681
Solaet3_01g001080,13.5572704279759,2.90915706042855,5.36672840145257,4.02793801796082,5.89110531352138
Solaet3_01g001090,0.153920017014935,0.4020705191194,0.340236430324149,11.081197172488,0.149678635077966
Solaet3_01g001100,0.0120512296601896,0.0279320497416003,0.010920158717406,1.35559389600489,0.0157662653697372
Solaet3_01g001110,4.38799942729765,0.315231006781756,5.27266395552409,1.94675387808361,0.9365298303952
Solaet3_01g001120,16.2203813057906,4.46587615496421,25.5443290004195,12.9906583558531,8.19799981577711
Solaet3_01g001130,6.03317727973895,0.497853691218037,8.1201307674442,1.57215529346126,1.23155179174627
Solaet3_01g001140,13.8281928687289,12.4580672164026,30.8853813865208,9.59536447537274,13.0004218315854
Solaet3_01g001150,63.5945420160555,9.46201818172469,21.4527888343123,25.6065820056746,5.18722566709551
Solaet3_01g001170,10.2740892142393,2.69723568844555,6.35421503165001,7.46163765572003,2.8865019666181
Solaet3_01g001180,9.3763690037879,34.910216572912,7.01512963289961,7.74569187574687,39.0332904725212
Solaet3_01g001190,0.404529910635977,0.0378942111909969,5.26628523896438,0.0138209137482172,0.0653519567138944
Solaet3_01g001210,19.6604340588882,7.24293832719472,18.0383621744475,11.8174024795687,10.6675277282937
Solaet3_01g001220,0,0.0648909204362788,0,0,0
Solaet3_01g001230,18.3533687278716,2.65732247188848,22.9656948030797,11.4966092003653,18.5110801626749
Solaet3_01g001240,13.1794329207138,1.72789139116992,8.21619930039181,4.73007831338443,1.96616896887012
Solaet3_01g001250,77.1118833900437,19.460669081508,41.2749958586886,46.5573785644267,21.4032805945145
Solaet3_01g001260,12.1493905833384,6.58374314458231,17.8676501871502,21.7055969393139,5.24900887079065
Solaet3_01g001270,1.22076803299815,0.624445628556787,0.915783263171178,1.72353610933964,0.483867427629365
Solaet3_01g001280,118.709804206015,89.9035712725242,115.277410704279,355.506756895039,72.6746191272994
Solaet3_01g001290,74.6443400857246,19.5337544440434,98.3817703446329,68.6655162925511,31.1146927261284
Solaet3_01g001300,0.100248952430815,0.0132289724030834,0.252307584768865,0.0317528283105833,0.205869873817911
Solaet3_01g001310,4.24030793544873,0.720528469758616,3.3395047411528,1.61173037167253,0.835393093878884
Solaet3_01g001320,0.252251365401132,0,0.18121811413612,0,0
Solaet3_01g001330,10.2180888642678,4.68384735535552,10.6691887184011,6.77244471534152,5.48287577072528
Solaet3_01g001340,17.7647243337224,7.98206794847972,21.6104685037897,20.5979360654527,10.4610534348937
Solaet3_01g001350,9.84446117233952,2.34019508754055,9.94466568273505,8.78181638342509,3.3217863614936
Solaet3_01g001370,21.4937206394833,4.35797425526548,12.1562022456255,6.20722241554431,5.99775670650452
