Spse1-1_S28,Spse1-2_S29,Spse1-3_S30
Solpse1_01g001020,0,0,0
Solpse1_01g001030,23.4514485855582,24.0886318358068,27.0920296745433
Solpse1_01g001040,0,0,0
Solpse1_01g001050,3.64179943753424,4.75402413637025,2.80094189751032
Solpse1_01g001060,0.661354957826878,0.685984221483357,0.217237758345139
Solpse1_01g001070,0.0205194814627262,0.063850918556817,0.101101672466802
Solpse1_01g001080,1.39311158633824,0.970516957824323,1.00398941800655
Solpse1_01g001090,8.03655183099436,13.6116847422458,9.04715067158059
Solpse1_01g001100,2.88525049257246,2.55739731693357,3.02411745064726
Solpse1_01g001110,23.8192989510895,23.5890778114206,19.3864671980889
Solpse1_01g001120,63.5040611981234,66.9438240069935,53.8311719839179
Solpse1_01g001130,7.12961116401933,6.67441118333844,4.53493160087968
Solpse1_01g001140,14.9423936736142,16.2883896226171,11.5611387377868
Solpse1_01g001150,0.307618980540175,0.455821285382155,0.0649573503494493
Solpse1_01g001160,0,0,0
Solpse1_01g001170,17.5606983331732,15.3100947755643,12.4820689641327
Solpse1_01g001180,0,0,0
Solpse1_01g001190,0,0,0
Solpse1_01g001200,8.2044807182335,9.04398268193059,9.60672813560962
Solpse1_01g001210,0.802656912731218,1.13529320144247,0.934765276368295
Solpse1_01g001220,1.82635384715025,2.17852364035082,3.6894424358324
Solpse1_01g001230,42.2338207926687,44.7584077844564,48.0666534895107
Solpse1_01g001240,12.6839285684306,12.6300344027622,12.1657065932454
Solpse1_01g001250,52.9811596981274,60.3903748181089,59.9923493966522
Solpse1_01g001260,21.8270197183086,24.9203437730937,24.4323382159163
Solpse1_01g001270,0.0448716246929155,0.0930853429535206,0
Solpse1_01g001280,3.97815633315578,3.45082472653623,1.7996464341602
Solpse1_01g001290,10.522638277879,9.79507107709617,10.0036501930532
Solpse1_01g001300,13.1365167197205,14.935545019411,11.977152897155
Solpse1_01g001310,7.45680400473456,6.05956855694293,4.04894955659523
Solpse1_01g001320,0,0,0
Solpse1_01g001330,0,0,0
Solpse1_01g001340,13.6481603777886,11.9894648953376,9.33178310078787
Solpse1_01g001350,1.45652709740735,1.65130571512775,2.23638653972445
Solpse1_01g001360,192.641325829877,223.988594485465,286.257141618362
Solpse1_01g001370,1.2799447043553,1.50462537954379,1.34537045241069
Solpse1_01g001380,0.899802663710038,1.22497182407742,0.651159097080454
Solpse1_01g001390,1.25194342803876,1.4495626805739,1.69273983545816
Solpse1_01g001400,134.678112198884,83.2353741060345,75.3878426501762
Solpse1_01g001410,0.0515357273700812,0,0.101568808907243
Solpse1_01g001420,15.0408127358461,15.156786886351,11.6356981453659
Solpse1_01g001430,6.07094855709876,6.82961939828423,5.7145715928315
Solpse1_01g001440,159.723700233358,142.157473997481,138.107558352891
