Shav1-1_S13,Shav1-2_S14,Shav1-3_S15
Solhav1_01g001360,273.821998478479,196.236599528522,126.619070510643
Solhav1_01g001370,25.8883863848916,24.8780950963477,25.6092555161432
Solhav1_01g001380,1.25726810377825,5.75952059546339,8.57965785500705
Solhav1_01g001390,34.0993518225227,34.4309004502779,29.3870240676219
Solhav1_01g001400,24.540454197815,38.8405649445935,41.4021493350845
Solhav1_01g001410,0,0,0
Solhav1_01g001420,0,0,0
Solhav1_01g001430,0.738596146970918,0.636832953624706,0.163119702916173
Solhav1_01g001440,11.0448258554278,5.24558286116854,3.24979902292327
Solhav1_01g001450,13.0628201051199,7.55989791522457,1.99336097594211
Solhav1_01g001460,0.485058815751093,0.398312186195673,0
Solhav1_01g001470,31.3740997060276,23.3362672933869,29.9029373065478
Solhav1_01g001480,92.8789379311538,176.407286659804,242.795475431817
Solhav1_01g001490,0,0.0415630107334615,0
Solhav1_01g001500,0,0,0
Solhav1_01g001510,58.972525118411,66.5769359950785,93.6527309827707
Solhav1_01g001520,216.918302403889,120.437136202351,109.182541949911
Solhav1_01g001530,94.3601710206617,85.8824432505315,97.7140418042788
Solhav1_01g001540,0.623989900416469,3.56970052741169,2.06713196912943
Solhav1_01g001550,0.219968532724333,2.66429168731466,1.25499035968173
Solhav1_01g001560,13.9965297893853,26.2985207748778,22.5441130878595
Solhav1_01g001570,0,0.225746416154496,0
Solhav1_01g001580,0.194227261189797,0.152242529690471,0.370459290294571
Solhav1_01g001590,60.3682309160035,49.1433122148499,50.1694403052894
Solhav1_01g001600,6.8417847096582,10.178074717745,7.87430374860479
Solhav1_01g001610,0,0,0.0534088001398591
Solhav1_01g001620,0,0,0
Solhav1_01g001630,1.94257008281545,0.672960661153699,0.536273198997574
Solhav1_01g001640,15.8635587541238,41.0336705024221,55.8805526922437
Solhav1_01g001650,32.3032151682658,50.0545647319229,69.2245201227955
Solhav1_01g001660,0.836585685540857,0.515229693586442,0.554282373590777
Solhav1_01g001670,1.27205626032707,10.8336323150281,9.27085190496878
Solhav1_01g001680,0.32059813688029,1.540089825748,4.44297744360157
Solhav1_01g001690,0,0.0920543719207777,0.0825264867346267
Solhav1_01g001700,5.10227437365057,3.89565046394909,5.59562167589303
Solhav1_01g001710,16.4805865869313,37.6194144797513,38.6660862847825
Solhav1_01g001720,9.87848240955229,12.4922349362465,21.5258381848282
Solhav1_01g001730,13.5306639610409,10.9363058361509,9.30724470498722
Solhav1_01g001740,8.14278085656415,2.92159961294858,2.07916342609415
